GeneName,geneid,baseMean,log2FoldChange,pvalue,padj
,8420,222.7410296,2.254532782,3.48E-39,7.4E-37
HIST3H2A,92815,462.7243399,1.837395583,4.94E-39,1.04E-36
WWC3,55841,2862.722475,-1.433245749,5.55E-39,1.15E-36
GSTP1,2950,6749.118925,-2.171896262,6.8E-39,1.4E-36
LMX1B,4010,108.8310433,3.074083925,7.8E-39,1.59E-36
PIK3C2G,5288,108.9729994,-4.386138689,9.59E-39,1.93E-36
ZNF185,7739,2914.578285,-2.061483096,1.11E-38,2.2E-36
ST6GALNAC4,27090,481.6021609,-1.903094729,2.03E-38,4.01E-36
SLPI,6590,5084.293146,-3.76642299,2.79E-38,5.45E-36
ONECUT2,9480,345.9181549,3.034315489,3.21E-38,6.21E-36
MED21,9412,1135.254086,-0.717799225,5.04E-38,9.65E-36
GLIS3,169792,526.4513981,-2.208005514,5.54E-38,1.05E-35
C15orf41,84529,319.1197568,-1.418494555,6.86E-38,1.29E-35
CCDC108,255101,143.3280556,2.439687588,7.4E-38,1.38E-35
KCNJ13,3769,14.28904962,-3.381070843,8.29E-38,1.52E-35
YPEL1,29799,798.688514,1.126937474,8.64E-38,1.57E-35
TRPM4,54795,24316.58053,1.818067199,1.03E-37,1.86E-35
NYNRIN,57523,1157.007911,-2.045661734,1.11E-37,1.99E-35
PDK4,5166,9516.578842,-3.018403723,1.39E-37,2.46E-35
ACKR4,51554,27.88082498,-2.26274683,3.69E-37,6.48E-35
RAB11FIP2,22841,1496.747378,-1.315351118,4.51E-37,7.85E-35
PLEKHA2,59339,1354.063323,-1.361125206,4.94E-37,8.52E-35
SLC31A2,1318,733.8558125,-2.068094765,8.69E-37,1.48E-34
DUOX2,50506,371.9172124,-3.231001196,9.56E-37,1.62E-34
HS3ST5,222537,29.7533817,-4.759569301,1.49E-36,2.5E-34
MICALL1,85377,1918.90923,-0.952130288,1.68E-36,2.79E-34
ARL4D,379,466.8308021,-1.981012818,1.79E-36,2.95E-34
EFNB1,1947,1275.267748,-1.315845841,3.07E-36,5.03E-34
GNL3,26354,6185.20423,0.871673709,4.13E-36,6.69E-34
SLC26A6,65010,1054.136896,1.379171634,4.53E-36,7.28E-34
C1orf186,440712,58.60953434,-2.810645324,4.74E-36,7.56E-34
EIF4EBP2,1979,6424.874817,-0.689452863,5.09E-36,8.05E-34
DUSP2,1844,1204.219174,-2.644292172,5.54E-36,8.68E-34
SDCCAG3,10807,1545.8502,0.838407066,8.44E-36,1.31E-33
SLMAP,7871,4934.8675,-1.21175339,9.4E-36,1.45E-33
DND1,373863,228.103665,0.792737002,1.5E-35,2.29E-33
CAMKK2,10645,15969.56334,1.621260235,1.91E-35,2.9E-33
GATA3,2625,812.9598434,-2.429861438,1.98E-35,2.99E-33
HOXB2,3212,286.2731864,-1.986911149,2.13E-35,3.19E-33
LRRC56,115399,441.6492906,1.291550044,2.17E-35,3.22E-33
FCRLB,127943,32.60035529,-1.97431904,2.61E-35,3.83E-33
PCSK6,5046,1349.867153,1.722096222,4.71E-35,6.88E-33
FGFRL1,53834,3737.085535,1.586709018,4.96E-35,7.19E-33
TGFBR3,7049,2279.098254,-1.699646734,5.27E-35,7.58E-33
SP7,80320,365.3827857,-2.147582498,8.06E-35,1.15E-32
HOXB9,3219,203.9028298,-3.539183964,1.31E-34,1.85E-32
PCDH7,5099,1519.053034,-2.007669051,1.38E-34,1.94E-32
PAQR7,164091,1034.423026,-1.585942573,2.36E-34,3.3E-32
TMLHE,55217,155.7996027,-1.859423553,2.48E-34,3.44E-32
G0S2,50486,408.4949032,-2.243807333,2.54E-34,3.5E-32
NETO2,81831,419.1457419,1.995197148,2.57E-34,3.51E-32
PDE7B,27115,359.000785,-1.763562367,2.62E-34,3.53E-32
OPCML,4978,17.1635331,-3.099315615,2.6E-34,3.53E-32
EZH2,2146,265.4306724,1.566173233,3.23E-34,4.32E-32
PTGS2,5743,5187.667442,-3.029081125,3.38E-34,4.49E-32
MARCKSL1,65108,20709.32918,1.420525492,4.05E-34,5.34E-32
CASKIN1,57524,140.0213455,1.768643047,4.41E-34,5.78E-32
SLIT1,6585,748.1981038,3.019730344,6.52E-34,8.48E-32
MATK,4145,462.5991524,2.760280609,7.03E-34,9.09E-32
SBK1,388228,1105.584191,1.386389824,7.37E-34,9.46E-32
NKAPL,222698,34.69207488,-1.867263495,1.28E-33,1.64E-31
DUSP19,142679,184.5389449,-1.160487515,1.35E-33,1.71E-31
MATN4,8785,16.19601254,-3.318481656,1.91E-33,2.41E-31
GNAZ,2781,731.7116542,-1.828497805,2.65E-33,3.31E-31
APOBEC3G,60489,554.5425908,-2.000754722,2.98E-33,3.7E-31
FOXD1,2297,183.3310057,3.327796192,3.07E-33,3.79E-31
UCN,7349,31.03319553,2.606005982,3.46E-33,4.24E-31
TRIM9,114088,47.25429945,-2.293048137,4.59E-33,5.59E-31
SPINK13,153218,33.06686373,-5.349131951,5.68E-33,6.88E-31
SCARA3,51435,2323.521817,-1.772059865,6.65E-33,8E-31
GSTM2,2946,2077.280509,-2.305780325,8.65E-33,1.03E-30
,399717,37.84703934,-3.315275669,8.59E-33,1.03E-30
C2orf72,257407,3171.978052,2.338014922,8.95E-33,1.06E-30
CST2,1470,304.2963722,3.694368343,9.41E-33,1.1E-30
PLP2,5355,2131.610524,-1.230553392,9.37E-33,1.1E-30
PARVA,55742,5012.557583,-0.828611034,1.08E-32,1.25E-30
HRASLS5,117245,65.82330585,-2.309337721,1.13E-32,1.3E-30
CAV2,858,1318.447981,-1.48603448,1.17E-32,1.34E-30
FAM167A,83648,346.8892997,-2.872846891,1.18E-32,1.34E-30
,151507,697.3240535,1.249077345,1.23E-32,1.39E-30
PRR7,80758,137.1508953,1.941127212,1.35E-32,1.52E-30
MFN2,9927,6438.981986,-0.633041412,1.49E-32,1.67E-30
SMPDL3B,27293,1266.858246,1.728063241,1.61E-32,1.79E-30
CAMK2G,818,2739.342678,-0.975359917,1.82E-32,2.01E-30
PIP5K1B,8395,182.0167145,-2.021151447,1.85E-32,2.03E-30
PCP4L1,654790,226.1595844,-2.388876448,2.01E-32,2.2E-30
C2orf88,84281,371.9035319,-2.270710543,2.03E-32,2.21E-30
DUOX1,53905,978.3834325,-2.47518824,2.14E-32,2.31E-30
ZNF154,7710,106.3836334,-1.750905581,3.61E-32,3.88E-30
KITLG,4254,1381.650878,-1.394039504,4.53E-32,4.84E-30
AFAP1L2,84632,1199.136099,-1.75214441,4.69E-32,4.99E-30
TRH,7200,4.968265742,-3.866609864,5.55E-32,5.86E-30
FRMD3,257019,93.52906718,-2.597046544,9.13E-32,9.6E-30
CDK18,5129,706.11071,-1.892658445,9.28E-32,9.7E-30
PAX2,5076,101.9863701,-3.72160079,9.82E-32,1.02E-29
FEM1B,10116,3628.340774,-0.666323823,1.17E-31,1.21E-29
C11orf45,219833,107.6445009,-1.946945583,1.24E-31,1.28E-29
ARHGEF40,55701,1632.280936,-1.523480813,1.36E-31,1.39E-29
SEMA6D,80031,265.5851664,-1.903880276,1.38E-31,1.4E-29
DBNDD1,79007,1646.340234,1.457595975,1.51E-31,1.53E-29
,440556,23.05976983,-2.976880157,1.52E-31,1.53E-29
PGRMC1,10857,7134.766059,-0.875122623,1.7E-31,1.7E-29
NDRG2,57447,6208.374403,-1.385840996,1.71E-31,1.7E-29
PALM3,342979,224.501823,-2.884586612,1.72E-31,1.7E-29
SEC23A,10484,2227.515163,-1.162613725,2.05E-31,2.02E-29
PRICKLE2,166336,1062.032962,-1.558499947,2.31E-31,2.27E-29
FBP2,8789,15.62977382,-4.466969641,2.35E-31,2.29E-29
SYT8,90019,47.87793802,-3.303872604,2.38E-31,2.31E-29
NLRP12,91662,97.39947802,2.705959551,2.53E-31,2.45E-29
GOLM1,51280,63268.22462,1.809830051,2.74E-31,2.63E-29
PJA1,64219,1609.274142,-1.002769243,2.94E-31,2.81E-29
CXCR2,3579,57.41461184,-2.725436906,3.2E-31,3.04E-29
RCBTB2,1102,972.3570016,-0.941809264,3.36E-31,3.18E-29
NUP210,23225,3506.210384,1.221206195,3.51E-31,3.31E-29
EPHA2,1969,1016.874087,-2.171009993,3.71E-31,3.47E-29
CDC42EP4,23580,3905.438779,-0.910276492,4.64E-31,4.33E-29
COL2A1,1280,2845.351057,4.529352724,6.14E-31,5.7E-29
DNAH5,1767,1764.456263,2.23815383,6.68E-31,6.17E-29
CCDC78,124093,164.7293938,2.737054106,6.88E-31,6.33E-29
TRIM36,55521,2375.292977,1.546113995,7.43E-31,6.8E-29
