GeneName,geneid,baseMean,log2FoldChange,pvalue,padj
CSPG4,1464,1610.330123,-1.13229612,1.45E-12,9.61E-12
ADAMTS15,170689,37.89596508,-1.32759423,1.46E-12,9.65E-12
PCYOX1L,78991,978.947814,0.483328657,1.47E-12,9.68E-12
P2RX2,22953,155.7233124,-1.700990558,1.47E-12,9.74E-12
SELO,83642,1796.811205,0.686870685,1.48E-12,9.8E-12
MRPL44,65080,1681.318748,0.399654664,1.48E-12,9.8E-12
ACAD10,80724,1571.719425,0.488641241,1.5E-12,9.9E-12
PRPF19,27339,10049.82357,0.388453111,1.51E-12,9.94E-12
CYB561D2,11068,1863.445421,0.578882535,1.54E-12,1.01E-11
PTPRR,5801,52.43921547,2.14284409,1.54E-12,1.02E-11
UBE2QL1,134111,367.0313293,-0.968742718,1.55E-12,1.02E-11
SLIT3,6586,837.4505047,-1.282963938,1.56E-12,1.03E-11
FOSL1,8061,255.7259851,-1.949967149,1.56E-12,1.03E-11
VMAC,400673,440.7657538,0.464093774,1.58E-12,1.04E-11
,132430,200.1941271,-0.959292914,1.58E-12,1.04E-11
DPT,1805,881.6259169,-1.690995262,1.58E-12,1.04E-11
PPP1R9A,55607,1267.572457,0.709848136,1.6E-12,1.05E-11
GNB2L1,10399,85202.65471,0.668735671,1.6E-12,1.05E-11
AKAP11,11215,2621.200982,-0.66660553,1.61E-12,1.06E-11
TSNARE1,203062,764.11588,0.524019901,1.65E-12,1.08E-11
EPAS1,2034,8554.671191,-0.740555207,1.64E-12,1.08E-11
PCP4,5121,2904.352248,-1.365193772,1.65E-12,1.08E-11
,283392,31.62952852,-1.460225467,1.65E-12,1.08E-11
ZNF454,285676,52.91323817,-0.996189651,1.66E-12,1.09E-11
DAK,26007,3022.847759,0.499051714,1.69E-12,1.11E-11
FKBP7,51661,466.0809292,-0.592108901,1.7E-12,1.12E-11
TAF6L,10629,906.2639376,0.49918311,1.72E-12,1.13E-11
WFIKKN2,124857,33.82337325,-1.214957864,1.75E-12,1.14E-11
ADPRHL1,113622,388.2813745,1.20511027,1.77E-12,1.16E-11
MYDGF,56005,7377.970962,0.666268993,1.79E-12,1.17E-11
UTP14A,10813,1052.984973,0.322876616,1.79E-12,1.17E-11
,114041,8.931381463,-1.671447114,1.8E-12,1.18E-11
ARF6,382,9723.130232,0.431696906,1.81E-12,1.19E-11
ZDHHC15,158866,142.8416973,-1.019852971,1.83E-12,1.19E-11
HIST1H2BL,8340,7.369581059,1.450714817,1.85E-12,1.21E-11
PLP1,5354,353.1997782,-1.653963147,1.86E-12,1.21E-11
,285359,192.1027498,0.578127853,1.86E-12,1.22E-11
NMUR1,10316,93.28105016,-1.284674366,1.87E-12,1.22E-11
VGLL1,51442,71.01974085,-1.715545782,1.87E-12,1.22E-11
SFPQ,6421,10405.4463,0.329338938,1.94E-12,1.26E-11
RABGAP1L,9910,382.6545339,-0.755335078,1.94E-12,1.26E-11
PAPPA2,60676,6.875830195,-1.976452802,1.96E-12,1.28E-11
,646214,420.3208112,0.954039075,1.98E-12,1.29E-11
COX5A,9377,3953.048688,0.597431825,1.97E-12,1.29E-11
FAM122A,116224,1180.258207,-0.357228893,2E-12,1.3E-11
KLHDC1,122773,165.1395205,-0.64431018,2E-12,1.3E-11
DAZ1,1617,21.90911955,2.469236297,2.01E-12,1.31E-11
CENPU,79682,373.6603866,1.087879845,2.02E-12,1.32E-11
UTP6,55813,1721.97706,0.308148543,2.04E-12,1.32E-11
BRINP2,57795,5.766308757,-1.99832712,2.04E-12,1.32E-11
SFTPA2,729238,4658.912936,1.889388408,2.05E-12,1.33E-11
CAMK1G,57172,90.23228705,-1.351006669,2.05E-12,1.33E-11
CES5A,221223,16.25449768,-3.880038837,2.08E-12,1.35E-11
NPDC1,56654,18728.75368,0.802617454,2.09E-12,1.36E-11
KLHL2,11275,725.7837436,-0.530640576,2.1E-12,1.36E-11
PCDHA2,56146,43.92086546,1.772156667,2.11E-12,1.37E-11
SHROOM4,57477,326.3560556,-0.898670912,2.12E-12,1.38E-11
FOLH1,2346,27506.01158,1.546602219,2.15E-12,1.39E-11
PCNP,57092,5575.03725,-0.341398918,2.14E-12,1.39E-11
DNAJC15,29103,741.0110091,-1.245120841,2.14E-12,1.39E-11
,652995,13.23030889,-2.20466811,2.18E-12,1.41E-11
KIAA1377,57562,250.7678255,-0.981554944,2.19E-12,1.42E-11
MYO3A,53904,5.560189577,-1.605773241,2.2E-12,1.42E-11
LINGO2,158038,14.34525493,-2.067394938,2.19E-12,1.42E-11
APOBR,55911,463.3535804,-1.173081697,2.22E-12,1.44E-11
COPG1,22820,20531.10498,0.483126974,2.24E-12,1.45E-11
CDK7,1022,1044.084688,0.497621462,2.27E-12,1.47E-11
TSHZ2,128553,242.8017857,-1.279497589,2.27E-12,1.47E-11
TRMU,55687,947.325847,0.701867811,2.29E-12,1.48E-11
GAS2L1,10634,2034.984401,-0.854710017,2.29E-12,1.48E-11
AMELX,265,1.659529312,-2.573933748,2.31E-12,1.49E-11
ACPT,93650,5.936416844,1.705658973,2.37E-12,1.53E-11
NOL6,65083,3095.888442,0.419075629,2.37E-12,1.53E-11
ASF1B,55723,217.2683027,1.106690829,2.38E-12,1.54E-11
FAM89B,23625,3377.265924,0.560324132,2.39E-12,1.54E-11
RIMS4,140730,137.8265156,-1.346445591,2.39E-12,1.54E-11
OR4N4,283694,5.835342698,3.140863451,2.4E-12,1.55E-11
SRSF9,8683,6651.262443,0.373050793,2.42E-12,1.56E-11
MIER1,57708,2011.686358,-0.450869362,2.43E-12,1.57E-11
TMED9,54732,14083.56461,0.519235163,2.46E-12,1.58E-11
,646113,7.968431874,-2.437758806,2.49E-12,1.6E-11
FEN1,2237,972.3636321,0.515431996,2.57E-12,1.65E-11
SMAD6,4091,327.9916583,-0.91093736,2.57E-12,1.65E-11
LRP3,4037,5121.398268,0.693132932,2.59E-12,1.66E-11
CYP27C1,339761,21.19387214,-1.198860296,2.59E-12,1.66E-11
RPL7A,6130,64079.94565,0.712868672,2.6E-12,1.67E-11
METTL4,64863,477.8593116,-0.363606399,2.62E-12,1.68E-11
BDH2,56898,927.8600946,-0.895915827,2.64E-12,1.69E-11
DDX41,51428,3432.642032,0.376763128,2.66E-12,1.7E-11
THSD4,79875,5776.860165,-1.017322636,2.65E-12,1.7E-11
,653483,198.8030862,0.925293874,2.67E-12,1.71E-11
TBL2,26608,3545.426846,0.408269764,2.66E-12,1.71E-11
FAT4,79633,695.6616425,-1.254348069,2.68E-12,1.72E-11
RPUSD4,84881,1155.889086,0.400151386,2.69E-12,1.73E-11
,145241,5.398916624,2.019866657,2.81E-12,1.8E-11
PLEKHH1,57475,5147.595093,0.930711117,2.83E-12,1.81E-11
BARX1,56033,9.361877027,2.229323523,2.85E-12,1.82E-11
SORBS2,8470,4871.104857,-0.648780375,2.85E-12,1.82E-11
PRSS16,10279,452.5149467,-1.287822201,2.85E-12,1.82E-11
KDELR2,11014,20681.93392,0.435781101,2.87E-12,1.84E-11
PPIL2,23759,3485.768169,0.388738068,2.9E-12,1.85E-11
ZNF233,353355,271.4043613,0.664868582,2.94E-12,1.88E-11
CEP112,201134,390.7693148,-0.640118249,2.95E-12,1.88E-11
ATP2B3,492,2.104784203,-2.595330132,2.95E-12,1.88E-11
GMNC,647309,141.9835064,2.086202643,2.96E-12,1.89E-11
B3GNT4,79369,19.57301682,1.346673359,2.96E-12,1.89E-11
UPK1B,7348,4.671443916,-2.776618472,2.98E-12,1.9E-11
RIC1,57589,915.9201847,-0.526375605,2.99E-12,1.91E-11
TOMM40,10452,2454.238906,0.563186438,3.02E-12,1.92E-11
CNPY2,10330,4806.287359,0.533986158,3.02E-12,1.92E-11
GMEB2,26205,1393.125209,0.35762141,3.01E-12,1.92E-11
MORF4L1,10933,8236.23331,-0.293258179,3.01E-12,1.92E-11
,664701,41.31948435,-1.238749009,3.01E-12,1.92E-11
MESP1,55897,2933.87422,1.513680734,3.04E-12,1.93E-11
CD300LG,146894,36.84163586,-1.714751982,3.03E-12,1.93E-11
FAM195A,84331,1797.325746,1.000781504,3.05E-12,1.94E-11
MAP3K3,4215,2236.803357,-0.368770201,3.05E-12,1.94E-11
NTM,50863,177.2191156,1.583703648,3.08E-12,1.95E-11
MRPS5,64969,2036.349726,0.398973276,3.07E-12,1.95E-11
EIF2B5,8893,3514.981301,0.34664284,3.09E-12,1.96E-11
SLC39A3,29985,1623.977037,0.566206469,3.1E-12,1.97E-11
PLCE1,51196,358.3901947,-0.992681413,3.11E-12,1.97E-11
RHOT1,55288,1801.580437,-0.335377815,3.12E-12,1.98E-11
AKT1S1,84335,3460.823629,0.487631818,3.15E-12,2E-11
,283981,48.61251713,1.24160227,3.21E-12,2.04E-11
FAM207A,85395,507.9833552,0.760364505,3.21E-12,2.04E-11
,374443,192.6638246,-0.613308105,3.22E-12,2.04E-11
SLC23A3,151295,28.26454184,1.303997539,3.24E-12,2.05E-11
ARHGEF19,128272,622.2122235,-1.013017204,3.23E-12,2.05E-11
NOL12,79159,830.6624195,0.590421649,3.26E-12,2.06E-11
FBXW7,55294,629.2431957,-0.323733703,3.25E-12,2.06E-11
SPINK1,6690,221.5134437,2.772577094,3.29E-12,2.08E-11
TXNRD2,10587,3997.176387,0.816706146,3.35E-12,2.12E-11
GDF10,2662,56.51941924,-1.881999195,3.36E-12,2.12E-11
SERPINA1,5265,1995.147665,-1.533972915,3.4E-12,2.15E-11
SLC22A17,51310,3154.17266,-0.771317214,3.45E-12,2.18E-11
IFI16,3428,1643.586015,-0.862237847,3.45E-12,2.18E-11
PTPRU,10076,2134.821812,-0.785423281,3.48E-12,2.19E-11
PRSS12,8492,92.36325811,-1.418333235,3.53E-12,2.23E-11
PPIB,5479,39225.46124,0.747307115,3.57E-12,2.25E-11
SYDE1,85360,726.3140261,-0.88238279,3.62E-12,2.29E-11
MRPS24,64951,3456.60094,0.62291288,3.66E-12,2.31E-11
KANK4,163782,159.464762,-1.48635518,3.68E-12,2.32E-11
,341056,29.4164828,-0.706419618,3.7E-12,2.33E-11
VARS2,57176,1414.446536,0.526912144,3.71E-12,2.34E-11
CYB561A3,220002,5267.414638,0.974699422,3.73E-12,2.35E-11
SH3D21,79729,308.9664301,0.829109533,3.73E-12,2.35E-11
,84099,12.27271748,-1.151834334,3.73E-12,2.35E-11
CYTH3,9265,1912.47718,0.71733179,3.79E-12,2.38E-11
VAX1,11023,2.954274042,3.422236091,3.83E-12,2.41E-11
BMP8A,353500,491.75732,0.772340429,3.83E-12,2.41E-11
TEAD3,7005,2994.889684,-0.446159085,3.83E-12,2.41E-11
TCF4,6925,1924.914636,-0.683911337,3.84E-12,2.41E-11
NUDT17,200035,58.56286961,-0.735840784,3.85E-12,2.41E-11
AK1,203,1150.811551,-0.967895976,3.85E-12,2.41E-11
HOXD8,3234,295.9774057,-1.265585382,3.84E-12,2.41E-11
MST1R,4486,94.95264854,-1.216626712,3.84E-12,2.41E-11
,253868,125.6214143,-1.332959365,3.83E-12,2.41E-11
LRP2BP,55805,178.2791138,0.665641562,3.9E-12,2.44E-11
NUDT10,170685,882.2316099,-1.11760476,3.93E-12,2.46E-11
ZBED4,9889,1233.603179,0.486261128,3.94E-12,2.47E-11
PRKCZ,5590,2097.101383,0.537013246,3.94E-12,2.47E-11
CAT,847,5300.691098,-0.532745544,3.95E-12,2.47E-11
SH3BP1,23616,436.7444302,-0.879563797,3.94E-12,2.47E-11
BSND,7809,2.761125453,-2.015622471,3.94E-12,2.47E-11
SLC25A15,10166,673.6327798,0.702705615,3.97E-12,2.48E-11
DNMT3A,1788,969.2990333,0.473246417,3.97E-12,2.48E-11
ATCAY,85300,249.467495,-1.336924212,3.96E-12,2.48E-11
,7955,12.17496619,-0.957862489,3.99E-12,2.49E-11
MPO,4353,8.855584548,-1.206095445,3.99E-12,2.49E-11
DLG3,1741,3232.828785,0.30980392,4.01E-12,2.5E-11
LSAMP,4045,859.9597253,-1.318125251,4E-12,2.5E-11
VEPH1,79674,43.97821015,-1.59363099,4.02E-12,2.51E-11
TNFRSF10D,8793,213.838089,-0.976788172,4.06E-12,2.53E-11
CNN2,1265,4894.86236,-0.725364254,4.15E-12,2.59E-11
C10orf111,221060,20.80168161,0.968087151,4.18E-12,2.61E-11
HMBS,3145,1164.669463,0.599976064,4.18E-12,2.61E-11
GGA1,26088,3522.018759,0.437775417,4.21E-12,2.62E-11
MON1A,84315,625.7472902,0.497374367,4.22E-12,2.63E-11
CRB1,23418,4.317308672,-1.322425879,4.22E-12,2.63E-11
RBM43,375287,485.2659353,-0.747457756,4.24E-12,2.64E-11
CARTPT,9607,143.1865611,-2.34699003,4.23E-12,2.64E-11
MAGED1,9500,19756.6018,0.555430266,4.26E-12,2.65E-11
ASCC1,51008,875.8808994,-0.38108012,4.28E-12,2.66E-11
THEG,51298,15.69514267,1.628215979,4.32E-12,2.69E-11
GFI1B,8328,3.464986453,-1.493210852,4.36E-12,2.71E-11
,6526,1054.275318,-0.635282887,4.38E-12,2.72E-11
PMP2,5375,55.74152529,-1.650919037,4.4E-12,2.73E-11
PLD6,201164,898.7401475,0.64775364,4.42E-12,2.74E-11
HVCN1,84329,219.5876987,-0.810528797,4.41E-12,2.74E-11
NELFB,25920,4435.532632,0.358183274,4.43E-12,2.75E-11
PPFIBP1,8496,2266.261435,-0.541052889,4.5E-12,2.79E-11
,399815,8.249662059,1.211195074,4.54E-12,2.82E-11
VPS37A,137492,1518.050139,-0.491071938,4.55E-12,2.82E-11
LYPLA1,10434,4854.713053,0.704123325,4.6E-12,2.85E-11
STEAP3,55240,1168.713942,-0.845870384,4.62E-12,2.86E-11
PDIA4,9601,18165.39133,0.604107008,4.63E-12,2.87E-11
GCFC2,6936,1376.268604,0.477247951,4.68E-12,2.9E-11
AMFR,267,5784.279454,-0.358164141,4.75E-12,2.94E-11
SH2D7,646892,3.779437936,-1.454948132,4.77E-12,2.95E-11
MAST4,375449,920.9175637,-1.050493765,4.78E-12,2.96E-11
CDK5,1020,820.3442778,0.532536938,4.8E-12,2.97E-11
MAP3K11,4296,4588.998386,0.460799642,4.82E-12,2.98E-11
TSGA10,80705,267.5718625,0.747422714,4.84E-12,2.99E-11
ZNF423,23090,514.0959194,-0.980441807,4.84E-12,2.99E-11
HLCS,3141,2907.944482,0.531336184,4.85E-12,3E-11
,653653,113.0492533,-1.002540745,4.87E-12,3.01E-11
ACKR3,57007,480.6787488,-0.989329171,4.87E-12,3.01E-11
SSH3,54961,3278.956194,-0.508844239,4.9E-12,3.03E-11
SYNE3,161176,42.84173489,-1.205822252,4.92E-12,3.03E-11
ZNF239,8187,358.1641573,0.553824036,4.97E-12,3.07E-11
NOS1,4842,67.42597171,-1.916441816,5E-12,3.08E-11
,606,438.2237668,2.279944484,5.04E-12,3.1E-11
KCTD17,79734,301.2528373,-0.896608912,5.04E-12,3.1E-11
ACTN3,89,4.573872096,-1.369909074,5.07E-12,3.12E-11
NDUFV2,4729,5457.910946,0.665574322,5.13E-12,3.16E-11
GRIK5,2901,337.7871575,-0.978452502,5.17E-12,3.18E-11
OPTC,26254,1.319122107,-2.008299392,5.18E-12,3.18E-11
,100132708,171.0533632,1.882650939,5.18E-12,3.19E-11
SLC38A5,92745,157.7277888,-1.228205035,5.2E-12,3.2E-11
WDR44,54521,826.5352946,-0.551774344,5.29E-12,3.25E-11
PEX14,5195,1554.393264,-0.493292061,5.34E-12,3.28E-11
CAMK4,814,115.3106046,-1.295884825,5.35E-12,3.28E-11
CACNB1,782,322.8215985,-1.104595227,5.47E-12,3.36E-11
NCKAP1,10787,7930.890509,-0.459177517,5.49E-12,3.37E-11
TMEM8A,58986,7085.934696,0.589448438,5.57E-12,3.42E-11
ACP6,51205,1199.885152,0.550709234,5.58E-12,3.42E-11
MRPS34,65993,3651.524831,0.648413954,5.7E-12,3.49E-11
AP4E1,23431,470.2852698,-0.450826734,5.7E-12,3.49E-11
TDRD7,23424,714.5422897,-0.458411025,5.71E-12,3.5E-11
COL4A5,1287,2668.586793,-0.602891692,5.71E-12,3.5E-11
TMPRSS11D,9407,5.250835324,-2.649515208,5.71E-12,3.5E-11
ERO1L,30001,832.9682102,-0.640342588,5.76E-12,3.52E-11
ARHGEF2,9181,1179.63921,-0.6797206,5.76E-12,3.53E-11
ZBTB17,7709,1383.405465,0.395382788,5.8E-12,3.55E-11
ADRA2A,150,676.8615463,1.234987566,5.86E-12,3.59E-11
FOXA1,3169,21701.78439,0.915650023,5.89E-12,3.6E-11
FAM178B,51252,20.28861639,-1.34881374,5.9E-12,3.6E-11
IRAK1BP1,134728,104.1811007,-0.683968007,5.96E-12,3.64E-11
,6791,33.65159177,0.873376383,6.06E-12,3.7E-11
COL10A1,1300,305.4609979,1.98207846,6.07E-12,3.71E-11
SLC8A2,6543,78.94144724,-1.384637133,6.08E-12,3.71E-11
NEDD4L,23327,19990.35206,0.902820771,6.09E-12,3.72E-11
CMTM5,116173,27.87901232,-1.614144887,6.1E-12,3.72E-11
,8365,963.033235,1.22468857,6.12E-12,3.73E-11
SLC39A7,7922,18510.28386,0.5151986,6.12E-12,3.73E-11
IFIT5,24138,784.696686,-0.572564774,6.22E-12,3.79E-11
UPF3A,65110,1838.048056,0.421901791,6.24E-12,3.8E-11
PPP1R2,5504,2917.247801,-0.292628291,6.23E-12,3.8E-11
SYT11,23208,1104.043442,-0.968401097,6.27E-12,3.82E-11
ZNF707,286075,500.7208611,0.54291867,6.35E-12,3.87E-11
RNFT2,84900,61.94855794,1.152946693,6.39E-12,3.89E-11
FASTK,10922,4600.240322,0.590613106,6.39E-12,3.89E-11
DDX54,79039,4606.927803,0.427033334,6.41E-12,3.9E-11
MMP14,4323,4481.834585,-0.791673251,6.45E-12,3.92E-11
SRRT,51593,5240.641876,0.3779508,6.48E-12,3.94E-11
STK35,140901,2174.492262,0.432761591,6.55E-12,3.98E-11
MZF1,7593,1258.277988,0.58481964,6.58E-12,3.99E-11
AP1M2,10053,5488.992499,0.548782038,6.56E-12,3.99E-11
C19orf47,126526,704.5070907,-0.396672175,6.63E-12,4.02E-11
KIF26A,26153,105.6744027,-1.107353796,6.62E-12,4.02E-11
LY6G6D,58530,23.87544851,-1.694899758,6.84E-12,4.15E-11
UNC5C,8633,73.30605828,-1.344017405,6.99E-12,4.24E-11
,642819,63.07695415,-0.485259188,7.02E-12,4.26E-11
MCCC1,56922,2017.198203,0.535469122,7.16E-12,4.34E-11
NAA10,8260,2454.603496,0.68536495,7.19E-12,4.35E-11
SNX18,112574,1505.580109,-0.488014766,7.17E-12,4.35E-11
SLC22A2,6582,8.062585741,-1.45036009,7.18E-12,4.35E-11
CEP55,55165,100.4674958,1.291815289,7.23E-12,4.37E-11
RAB40A,142684,63.81650246,-1.487451072,7.23E-12,4.38E-11
D2HGDH,728294,1907.771483,0.774209548,7.28E-12,4.4E-11
RPL31,6160,45773.15242,0.710116382,7.3E-12,4.42E-11
CASP1,834,328.3566718,-0.940314109,7.36E-12,4.45E-11
JMJD4,65094,1808.848537,0.52623784,7.4E-12,4.47E-11
NEGR1,257194,452.9437375,-1.190390977,7.42E-12,4.48E-11
PSMG3,84262,1420.829762,0.737536076,7.44E-12,4.49E-11
MDH1B,130752,85.79553185,1.20417871,7.45E-12,4.5E-11
CIART,148523,256.9780495,-1.063766608,7.53E-12,4.54E-11
NSUN6,221078,617.6838738,0.498689523,7.55E-12,4.56E-11
DMPK,1760,3085.016548,-0.933502081,7.58E-12,4.57E-11
SERPINB13,5275,6.146467276,-2.184506597,7.58E-12,4.57E-11
VSTM4,196740,1322.067289,-1.009086553,7.62E-12,4.59E-11
TMEM69,51249,1537.288834,0.398470167,7.64E-12,4.6E-11
PIGL,9487,156.5396367,0.789239752,7.66E-12,4.61E-11
ARFGAP1,55738,4238.892161,0.559535698,7.77E-12,4.68E-11
ATP5I,521,4473.821626,0.81857282,7.83E-12,4.71E-11
CD99L2,83692,2596.58835,-0.489130271,7.83E-12,4.71E-11
WFDC1,58189,2049.475507,-1.175696723,7.87E-12,4.73E-11
WDR74,54663,1637.538323,0.639725011,7.9E-12,4.75E-11
TNS4,84951,1819.078809,-1.658763171,7.89E-12,4.75E-11
WIF1,11197,359.5817303,-2.046570146,7.9E-12,4.75E-11
IL19,29949,1.072761792,-3.229946514,8.05E-12,4.84E-11
DECR1,1666,3127.219898,0.589284303,8.2E-12,4.93E-11
JAKMIP2,9832,26.38690124,-1.49848364,8.23E-12,4.94E-11
MICAL2,9645,3253.043555,1.00592935,8.27E-12,4.96E-11
FAM57B,83723,12.72085627,1.460252976,8.33E-12,5E-11
ABHD4,63874,2287.502683,-0.59003909,8.41E-12,5.05E-11
GPR133,283383,456.1450721,-1.490819183,8.48E-12,5.09E-11
FADS2,9415,11222.14538,-1.521052496,8.63E-12,5.17E-11
GLS2,27165,234.6954096,-0.746485851,8.64E-12,5.18E-11
,124842,30.35689679,-1.524323949,8.7E-12,5.21E-11
ODF3L2,284451,11.32144307,1.747506884,8.77E-12,5.25E-11
,646024,7.719246355,1.376883817,8.86E-12,5.31E-11
ADRA1B,147,19.18895773,-1.443085,8.91E-12,5.34E-11
CNRIP1,25927,459.9611351,-0.915967146,8.95E-12,5.35E-11
ATP6V0E2,155066,9025.852084,0.710573084,8.95E-12,5.36E-11
SLC6A3,6531,34.99739521,1.980871125,9.03E-12,5.4E-11
YAF2,10138,596.5505694,-0.343965541,9.05E-12,5.41E-11
TBC1D2B,23102,1949.681786,-0.463771013,9.16E-12,5.48E-11
RPLP0,6175,81549.96381,0.722458331,9.21E-12,5.5E-11
EFNA4,1945,836.0989595,0.585514535,9.21E-12,5.5E-11
NDUFAF2,91942,550.7156137,0.645802405,9.25E-12,5.52E-11
PFDN6,10471,1512.095635,0.710202537,9.27E-12,5.54E-11
NHLRC1,378884,201.064736,0.59631301,9.29E-12,5.54E-11
ANKRD9,122416,342.2850758,0.836229175,9.35E-12,5.58E-11
TUBE1,51175,372.8587868,-0.45118663,9.35E-12,5.58E-11
PDLIM7,9260,4990.160062,-1.010018281,9.37E-12,5.59E-11
GFOD1,54438,84.45942886,-0.880377037,9.43E-12,5.62E-11
GJA3,2700,65.6201566,1.799831309,9.59E-12,5.71E-11
TENM1,10178,1148.844109,1.78225508,9.58E-12,5.71E-11
RIPK3,11035,94.03084974,-1.057560449,9.6E-12,5.72E-11
PTGER3,5733,234.7287338,-1.133256697,9.64E-12,5.74E-11
SLC5A9,200010,14.99258955,-1.369688392,9.65E-12,5.74E-11
ODF2,4957,2434.142983,0.387925694,9.67E-12,5.75E-11
PPP2R5A,5525,2566.033091,-0.351609841,9.67E-12,5.75E-11
PNMA2,10687,78.02095545,-1.396891448,9.74E-12,5.79E-11
MASP1,5648,2588.589136,-1.357337251,9.79E-12,5.82E-11
STARD5,80765,314.0237258,-0.533537766,9.83E-12,5.84E-11
ATPIF1,93974,5761.262633,0.562477027,9.9E-12,5.88E-11
ZNF821,55565,631.7140013,0.506409855,9.96E-12,5.91E-11
LSM8,51691,1000.174504,0.455852924,9.96E-12,5.91E-11
ZWINT,11130,445.9751779,0.854504513,1E-11,5.94E-11
LMNTD2,256329,159.9574912,0.831961796,1E-11,5.95E-11
PTRH1,138428,584.2103892,0.720501333,1E-11,5.95E-11
ZNF664,144348,9849.892384,0.435167447,1E-11,5.95E-11
MAP3K8,1326,209.3889431,-1.111124992,1E-11,5.95E-11
NUTM2F,54754,14.48655161,1.398726878,1.01E-11,5.97E-11
KCNG1,3755,463.3091921,-0.988548235,1.02E-11,6.03E-11
GDI1,2664,8336.621233,0.394062299,1.02E-11,6.05E-11
,94009,1885.500965,1.36499949,1.02E-11,6.06E-11
DNAJB1,3337,11202.36462,-1.125675239,1.03E-11,6.1E-11
ARSF,416,4.924724694,-2.087323006,1.03E-11,6.1E-11
FKBP3,2287,4119.558632,0.536742042,1.03E-11,6.11E-11
MCFD2,90411,7840.67351,-0.557443726,1.05E-11,6.18E-11
DDX19A,55308,1619.662494,-0.366080938,1.05E-11,6.19E-11
PDCL3,79031,1343.773861,0.432912155,1.05E-11,6.2E-11
YDJC,150223,928.2772781,0.67644472,1.05E-11,6.21E-11
DHTKD1,55526,4173.972793,0.562377267,1.05E-11,6.22E-11
CSPG5,10675,146.8490727,1.111573744,1.06E-11,6.23E-11
ABHD12,26090,6348.161642,0.807481008,1.06E-11,6.24E-11
CPSF3L,54973,5113.848518,0.494663185,1.06E-11,6.28E-11
CHAD,1101,26.72447405,-1.334936332,1.07E-11,6.31E-11
CXCL6,6372,139.1529548,-1.382597839,1.07E-11,6.32E-11
C19orf60,55049,1547.254077,0.921801068,1.08E-11,6.37E-11
MPHOSPH8,54737,2257.182545,-0.517091788,1.08E-11,6.38E-11
TSPAN12,23554,951.1192067,-1.052787177,1.08E-11,6.38E-11
PLEKHA6,22874,2725.735609,-0.656967564,1.09E-11,6.42E-11
KLK12,43849,404.0043523,2.152435976,1.1E-11,6.5E-11
SRMS,6725,82.78864364,1.826354284,1.11E-11,6.52E-11
EFS,10278,1684.762799,-1.1101285,1.11E-11,6.52E-11
CES1,1066,2129.598124,-1.192596738,1.11E-11,6.52E-11
BVES,11149,595.3714232,-1.024772647,1.11E-11,6.54E-11
SPPL2B,56928,2532.952883,0.565946744,1.11E-11,6.55E-11
TET3,200424,1519.908642,0.694438669,1.12E-11,6.56E-11
FAM228A,653140,12.92279801,-1.104585878,1.12E-11,6.59E-11
SLC6A2,6530,7.101178914,-1.481516379,1.13E-11,6.65E-11
TRPM2,7226,576.6919936,1.529447225,1.15E-11,6.74E-11
,386593,794.1345178,0.98238734,1.15E-11,6.75E-11
BAG6,7917,11576.37684,0.28142925,1.15E-11,6.75E-11
RAD23B,5887,10706.42475,0.335794865,1.16E-11,6.79E-11
HDAC10,83933,1303.076514,0.650316903,1.16E-11,6.8E-11
PEX2,5828,3062.10272,-0.538123921,1.16E-11,6.82E-11
ARPC5L,81873,1803.800067,0.496619621,1.17E-11,6.84E-11
NDUFS6,4726,3306.951294,0.671964362,1.17E-11,6.85E-11
SGPP2,130367,111.3028705,-1.50058207,1.18E-11,6.88E-11
CBLN4,140689,11.59687974,-2.123040255,1.18E-11,6.89E-11
CHRNB4,1143,2.011303032,-1.812574647,1.18E-11,6.92E-11
LAMTOR2,28956,2503.941043,0.72548754,1.19E-11,6.95E-11
SEZ6L2,26470,7081.598437,0.784930997,1.19E-11,6.96E-11
NPY,4852,58071.91887,2.362588827,1.19E-11,6.98E-11
RPS26,6231,1966.230201,0.94215763,1.2E-11,7.03E-11
PRPS1,5631,2307.390734,0.415154995,1.21E-11,7.06E-11
,84981,468.5652976,-0.902730141,1.22E-11,7.11E-11
ATP13A2,23400,3187.587321,0.549091949,1.22E-11,7.12E-11
EEFSEC,60678,1666.093286,0.495674829,1.22E-11,7.12E-11
,440567,1252.992913,0.645179581,1.22E-11,7.15E-11
RAB34,83871,2110.712182,-0.885143615,1.23E-11,7.16E-11
BCL11A,53335,309.4454141,-1.226240693,1.24E-11,7.2E-11
OR7A5,26659,10.28467891,-1.882674794,1.24E-11,7.24E-11
FSCN2,25794,48.49394331,0.927320769,1.27E-11,7.41E-11
C19orf73,55150,87.40053609,0.966738559,1.27E-11,7.41E-11
SMC6,79677,827.7882548,-0.444749932,1.27E-11,7.41E-11
HENMT1,113802,382.0341486,0.724883741,1.28E-11,7.46E-11
,115110,297.6682461,0.986556348,1.28E-11,7.47E-11
CERS2,29956,10214.23992,0.406541726,1.29E-11,7.52E-11
SLC38A1,81539,5980.896697,-0.684440563,1.3E-11,7.57E-11
MPI,4351,3171.979109,0.460440479,1.31E-11,7.65E-11
MCTS1,28985,1706.3659,0.368525035,1.32E-11,7.65E-11
SLC25A19,60386,296.622654,0.584303804,1.33E-11,7.7E-11
